Column,Value,Count,Percentage (%)
OverallQual,1,2,0.14
OverallCond,5,821,56.23
OverallCond,6,252,17.26
OverallCond,7,205,14.04
OverallCond,8,72,4.93
OverallCond,4,57,3.9
OverallCond,3,25,1.71
OverallCond,9,22,1.51
OverallCond,2,5,0.34
OverallCond,1,1,0.07
YearBuilt,2006,67,4.59
YearBuilt,2005,64,4.38
YearBuilt,2004,54,3.7
YearBuilt,2007,49,3.36
YearBuilt,2003,45,3.08
YearRemodAdd,1950,178,12.19
YearRemodAdd,2006,97,6.64
YearRemodAdd,2007,76,5.21
YearRemodAdd,2005,73,5.0
YearRemodAdd,2004,62,4.25
RoofStyle,Gable,1141,78.15
RoofStyle,Hip,286,19.59
RoofStyle,Flat,13,0.89
RoofStyle,Gambrel,11,0.75
RoofStyle,Mansard,7,0.48
RoofStyle,Shed,2,0.14
RoofMatl,CompShg,1434,98.22
RoofMatl,Tar&Grv,11,0.75
RoofMatl,WdShngl,6,0.41
RoofMatl,WdShake,5,0.34
RoofMatl,Metal,1,0.07
RoofMatl,Membran,1,0.07
RoofMatl,Roll,1,0.07
RoofMatl,ClyTile,1,0.07
Exterior1st,VinylSd,515,35.27
Exterior1st,HdBoard,222,15.21
Exterior1st,MetalSd,220,15.07
Exterior1st,'Wd Sdng',206,14.11
Exterior1st,Plywood,108,7.4
Exterior1st,CemntBd,61,4.18
Exterior1st,BrkFace,50,3.42
Exterior1st,WdShing,26,1.78
Exterior1st,Stucco,25,1.71
Exterior1st,AsbShng,20,1.37
Exterior1st,BrkComm,2,0.14
Exterior1st,Stone,2,0.14
Exterior1st,AsphShn,1,0.07
Exterior1st,ImStucc,1,0.07
Exterior1st,CBlock,1,0.07
Exterior2nd,VinylSd,504,34.52
Exterior2nd,MetalSd,214,14.66
Exterior2nd,HdBoard,207,14.18
Exterior2nd,'Wd Sdng',197,13.49
Exterior2nd,Plywood,142,9.73
Exterior2nd,CmentBd,60,4.11
Exterior2nd,'Wd Shng',38,2.6
Exterior2nd,Stucco,26,1.78
Exterior2nd,BrkFace,25,1.71
Exterior2nd,AsbShng,20,1.37
Exterior2nd,ImStucc,10,0.68
Exterior2nd,'Brk Cmn',7,0.48
Exterior2nd,Stone,5,0.34
Exterior2nd,AsphShn,3,0.21
Exterior2nd,Other,1,0.07
Exterior2nd,CBlock,1,0.07
MasVnrType,BrkFace,445,74.66
MasVnrType,Stone,128,21.48
MasVnrType,BrkCmn,15,2.52
MasVnrType,?,8,1.34
MasVnrArea,0.0,861,58.97
MasVnrArea,180.0,8,0.55
MasVnrArea,?,8,0.55
MasVnrArea,108.0,8,0.55
MasVnrArea,72.0,8,0.55
ExterQual,TA,906,62.05
ExterQual,Gd,488,33.42
ExterQual,Ex,52,3.56
ExterQual,Fa,14,0.96
ExterCond,TA,1282,87.81
ExterCond,Gd,146,10.0
ExterCond,Fa,28,1.92
ExterCond,Ex,3,0.21
ExterCond,Po,1,0.07
Foundation,PConc,647,44.32
Foundation,CBlock,634,43.42
Foundation,BrkTil,146,10.0
Foundation,Slab,24,1.64
Foundation,Stone,6,0.41
Foundation,Wood,3,0.21
BsmtQual,TA,649,44.45
BsmtQual,Gd,618,42.33
BsmtQual,Ex,121,8.29
BsmtQual,?,37,2.53
BsmtQual,Fa,35,2.4
BsmtCond,TA,1311,89.79
BsmtCond,Gd,65,4.45
BsmtCond,Fa,45,3.08
BsmtCond,?,37,2.53
BsmtCond,Po,2,0.14
BsmtExposure,No,953,65.27
BsmtExposure,Av,221,15.14
BsmtExposure,Gd,134,9.18
BsmtExposure,Mn,114,7.81
BsmtExposure,?,38,2.6
BsmtFinType1,Unf,430,29.45
BsmtFinType1,GLQ,418,28.63
BsmtFinType1,ALQ,220,15.07
BsmtFinType1,BLQ,148,10.14
BsmtFinType1,Rec,133,9.11
BsmtFinType1,LwQ,74,5.07
BsmtFinType1,?,37,2.53
BsmtFinSF1,0,467,31.99
BsmtFinSF1,24,12,0.82
BsmtFinSF1,16,9,0.62
BsmtFinSF1,662,5,0.34
BsmtFinSF1,616,5,0.34
BsmtFinType2,Unf,1256,86.03
BsmtFinType2,Rec,54,3.7
BsmtFinType2,LwQ,46,3.15
BsmtFinType2,?,38,2.6
BsmtFinType2,BLQ,33,2.26
BsmtFinType2,ALQ,19,1.3
BsmtFinType2,GLQ,14,0.96
BsmtFinSF2,0,1293,88.56
BsmtFinSF2,180,5,0.34
BsmtFinSF2,374,3,0.21
BsmtFinSF2,93,2,0.14
BsmtFinSF2,712,2,0.14
BsmtUnfSF,0,118,8.08
BsmtUnfSF,728,9,0.62
BsmtUnfSF,384,8,0.55
BsmtUnfSF,572,7,0.48
BsmtUnfSF,600,7,0.48
TotalBsmtSF,0,37,2.53
TotalBsmtSF,864,35,2.4
TotalBsmtSF,672,17,1.16
TotalBsmtSF,912,15,1.03
TotalBsmtSF,1040,14,0.96
Heating,GasA,1428,97.81
Heating,GasW,18,1.23
Heating,Grav,7,0.48
Heating,Wall,4,0.27
Heating,OthW,2,0.14
Heating,Floor,1,0.07
HeatingQC,Ex,741,50.75
HeatingQC,TA,428,29.32
HeatingQC,Gd,241,16.51
HeatingQC,Fa,49,3.36
HeatingQC,Po,1,0.07
CentralAir,Y,1365,93.49
CentralAir,N,95,6.51
Electrical,SBrkr,1334,91.37
Electrical,FuseA,94,6.44
Electrical,FuseF,27,1.85
Electrical,FuseP,3,0.21
Electrical,Mix,1,0.07
Electrical,?,1,0.07
1stFlrSF,864,25,1.71
1stFlrSF,1040,16,1.1
1stFlrSF,912,14,0.96
1stFlrSF,848,12,0.82
1stFlrSF,894,12,0.82
2ndFlrSF,0,829,56.78
2ndFlrSF,728,10,0.68
2ndFlrSF,504,9,0.62
2ndFlrSF,672,8,0.55
2ndFlrSF,546,8,0.55
LowQualFinSF,0,1434,98.22
LowQualFinSF,80,3,0.21
LowQualFinSF,360,2,0.14
LowQualFinSF,513,1,0.07
LowQualFinSF,234,1,0.07
GrLivArea,864,22,1.51
GrLivArea,1040,14,0.96
GrLivArea,894,11,0.75
GrLivArea,1456,10,0.68
GrLivArea,848,10,0.68
BsmtFullBath,0,856,58.63
BsmtFullBath,1,588,40.27
BsmtFullBath,2,15,1.03
BsmtFullBath,3,1,0.07
BsmtHalfBath,0,1378,94.38
BsmtHalfBath,1,80,5.48
BsmtHalfBath,2,2,0.14
FullBath,2,768,52.6
FullBath,1,650,44.52
FullBath,3,33,2.26
FullBath,0,9,0.62
HalfBath,0,913,62.53
HalfBath,1,535,36.64
HalfBath,2,12,0.82
BedroomAbvGr,3,804,55.07
BedroomAbvGr,2,358,24.52
BedroomAbvGr,4,213,14.59
BedroomAbvGr,1,50,3.42
BedroomAbvGr,5,21,1.44
BedroomAbvGr,6,7,0.48
BedroomAbvGr,0,6,0.41
BedroomAbvGr,8,1,0.07
KitchenAbvGr,1,1392,95.34
KitchenAbvGr,2,65,4.45
KitchenAbvGr,3,2,0.14
KitchenAbvGr,0,1,0.07
KitchenQual,TA,735,50.34
KitchenQual,Gd,586,40.14
KitchenQual,Ex,100,6.85
KitchenQual,Fa,39,2.67
TotRmsAbvGrd,6,402,27.53
TotRmsAbvGrd,7,329,22.53
TotRmsAbvGrd,5,275,18.84
TotRmsAbvGrd,8,187,12.81
TotRmsAbvGrd,4,97,6.64
TotRmsAbvGrd,9,75,5.14
TotRmsAbvGrd,10,47,3.22
TotRmsAbvGrd,11,18,1.23
TotRmsAbvGrd,3,17,1.16
TotRmsAbvGrd,12,11,0.75
TotRmsAbvGrd,2,1,0.07
TotRmsAbvGrd,14,1,0.07
Functional,Typ,1360,93.15
Functional,Min2,34,2.33
Functional,Min1,31,2.12
Functional,Mod,15,1.03
Functional,Maj1,14,0.96
Functional,Maj2,5,0.34
Functional,Sev,1,0.07
Fireplaces,0,690,47.26
Fireplaces,1,650,44.52
Fireplaces,2,115,7.88
Fireplaces,3,5,0.34
FireplaceQu,?,690,47.26
FireplaceQu,Gd,380,26.03
FireplaceQu,TA,313,21.44
FireplaceQu,Fa,33,2.26
FireplaceQu,Ex,24,1.64
FireplaceQu,Po,20,1.37
GarageType,Attchd,870,59.59
GarageType,Detchd,387,26.51
GarageType,BuiltIn,88,6.03
GarageType,?,81,5.55
GarageType,Basment,19,1.3
GarageType,CarPort,9,0.62
GarageType,2Types,6,0.41
GarageYrBlt,?,81,5.55
GarageYrBlt,2005.0,65,4.45
GarageYrBlt,2006.0,59,4.04
GarageYrBlt,2004.0,53,3.63
GarageYrBlt,2003.0,50,3.42
GarageFinish,Unf,605,41.44
GarageFinish,RFn,422,28.9
GarageFinish,Fin,352,24.11
GarageFinish,?,81,5.55
GarageCars,2,824,56.44
GarageCars,1,369,25.27
GarageCars,3,181,12.4
GarageCars,0,81,5.55
GarageCars,4,5,0.34
GarageArea,0,81,5.55
GarageArea,440,49,3.36
GarageArea,576,47,3.22
GarageArea,240,38,2.6
GarageArea,484,34,2.33
GarageQual,TA,1311,89.79
GarageQual,?,81,5.55
GarageQual,Fa,48,3.29
GarageQual,Gd,14,0.96
GarageQual,Ex,3,0.21
GarageQual,Po,3,0.21
GarageCond,TA,1326,90.82
GarageCond,?,81,5.55
GarageCond,Fa,35,2.4
GarageCond,Gd,9,0.62
GarageCond,Po,7,0.48
GarageCond,Ex,2,0.14
PavedDrive,Y,1340,91.78
PavedDrive,N,90,6.16
PavedDrive,P,30,2.05
WoodDeckSF,0,761,52.12
WoodDeckSF,192,38,2.6
WoodDeckSF,100,36,2.47
WoodDeckSF,144,33,2.26
WoodDeckSF,120,31,2.12
OpenPorchSF,0,656,44.93
OpenPorchSF,36,29,1.99
OpenPorchSF,48,22,1.51
OpenPorchSF,20,21,1.44
OpenPorchSF,45,19,1.3
EnclosedPorch,0,1252,85.75
EnclosedPorch,112,15,1.03
EnclosedPorch,96,6,0.41
EnclosedPorch,144,5,0.34
EnclosedPorch,192,5,0.34
3SsnPorch,0,1436,98.36
3SsnPorch,168,3,0.21
3SsnPorch,180,2,0.14
3SsnPorch,144,2,0.14
3SsnPorch,216,2,0.14
3SsnPorch,320,1,0.07
3SsnPorch,407,1,0.07
3SsnPorch,130,1,0.07
3SsnPorch,140,1,0.07
3SsnPorch,508,1,0.07
3SsnPorch,238,1,0.07
3SsnPorch,245,1,0.07
3SsnPorch,196,1,0.07
3SsnPorch,182,1,0.07
3SsnPorch,162,1,0.07
3SsnPorch,23,1,0.07
3SsnPorch,96,1,0.07
3SsnPorch,153,1,0.07
3SsnPorch,290,1,0.07
3SsnPorch,304,1,0.07
ScreenPorch,0,1344,92.05
ScreenPorch,192,6,0.41
ScreenPorch,224,5,0.34
ScreenPorch,120,5,0.34
ScreenPorch,180,4,0.27
PoolArea,0,1453,99.52
PoolArea,512,1,0.07
PoolArea,648,1,0.07
PoolArea,576,1,0.07
PoolArea,555,1,0.07
PoolArea,480,1,0.07
PoolArea,519,1,0.07
PoolArea,738,1,0.07
PoolQC,?,1453,99.52
PoolQC,Gd,3,0.21
PoolQC,Ex,2,0.14
PoolQC,Fa,2,0.14
Fence,?,1179,80.75
Fence,MnPrv,157,10.75
Fence,GdPrv,59,4.04
Fence,GdWo,54,3.7
Fence,MnWw,11,0.75
MiscFeature,?,1406,96.3
MiscFeature,Shed,49,3.36
MiscFeature,Gar2,2,0.14
MiscFeature,Othr,2,0.14
MiscFeature,TenC,1,0.07
MiscVal,0,1408,96.44
MiscVal,400,11,0.75
MiscVal,500,8,0.55
MiscVal,700,5,0.34
MiscVal,450,4,0.27
MoSold,6,253,17.33
MoSold,7,234,16.03
MoSold,5,204,13.97
MoSold,4,141,9.66
MoSold,8,122,8.36
MoSold,3,106,7.26
MoSold,10,89,6.1
MoSold,11,79,5.41
MoSold,9,63,4.32
MoSold,12,59,4.04
MoSold,1,58,3.97
MoSold,2,52,3.56
YrSold,2009,338,23.15
YrSold,2007,329,22.53
YrSold,2006,314,21.51
YrSold,2008,304,20.82
YrSold,2010,175,11.99
SaleType,WD,1267,86.78
SaleType,New,122,8.36
SaleType,COD,43,2.95
SaleType,ConLD,9,0.62
SaleType,ConLI,5,0.34
SaleType,ConLw,5,0.34
SaleType,CWD,4,0.27
SaleType,Oth,3,0.21
SaleType,Con,2,0.14
SaleCondition,Normal,1198,82.05
SaleCondition,Partial,125,8.56
SaleCondition,Abnorml,101,6.92
SaleCondition,Family,20,1.37
SaleCondition,Alloca,12,0.82
SaleCondition,AdjLand,4,0.27
SalePrice,140000,20,1.37
SalePrice,135000,17,1.16
SalePrice,145000,14,0.96
SalePrice,155000,14,0.96
SalePrice,110000,13,0.89
