Column,Value,Count,Percentage (%)
GarageArea,576.0,47,3.22
GarageArea,240.0,38,2.6
GarageArea,484.0,34,2.33
GarageQual,3.0,1311,89.79
GarageQual,0.0,81,5.55
GarageQual,2.0,48,3.29
GarageQual,4.0,14,0.96
GarageQual,5.0,3,0.21
GarageQual,1.0,3,0.21
GarageCond,3.0,1326,90.82
GarageCond,0.0,81,5.55
GarageCond,2.0,35,2.4
GarageCond,4.0,9,0.62
GarageCond,1.0,7,0.48
GarageCond,5.0,2,0.14
WoodDeckSF,0.0,761,52.12
WoodDeckSF,192.0,38,2.6
WoodDeckSF,100.0,36,2.47
WoodDeckSF,144.0,33,2.26
WoodDeckSF,120.0,31,2.12
OpenPorchSF,0.0,656,44.93
OpenPorchSF,36.0,29,1.99
OpenPorchSF,48.0,22,1.51
OpenPorchSF,20.0,21,1.44
OpenPorchSF,45.0,19,1.3
EnclosedPorch,0.0,1252,85.75
EnclosedPorch,112.0,15,1.03
EnclosedPorch,96.0,6,0.41
EnclosedPorch,144.0,5,0.34
EnclosedPorch,192.0,5,0.34
3SsnPorch,0.0,1436,98.36
3SsnPorch,168.0,3,0.21
3SsnPorch,180.0,2,0.14
3SsnPorch,144.0,2,0.14
3SsnPorch,216.0,2,0.14
3SsnPorch,320.0,1,0.07
3SsnPorch,407.0,1,0.07
3SsnPorch,130.0,1,0.07
3SsnPorch,140.0,1,0.07
3SsnPorch,508.0,1,0.07
3SsnPorch,238.0,1,0.07
3SsnPorch,245.0,1,0.07
3SsnPorch,196.0,1,0.07
3SsnPorch,182.0,1,0.07
3SsnPorch,162.0,1,0.07
3SsnPorch,23.0,1,0.07
3SsnPorch,96.0,1,0.07
3SsnPorch,153.0,1,0.07
3SsnPorch,290.0,1,0.07
3SsnPorch,304.0,1,0.07
ScreenPorch,0.0,1344,92.05
ScreenPorch,192.0,6,0.41
ScreenPorch,224.0,5,0.34
ScreenPorch,120.0,5,0.34
ScreenPorch,180.0,4,0.27
PoolArea,0.0,1453,99.52
PoolArea,512.0,1,0.07
PoolArea,648.0,1,0.07
PoolArea,576.0,1,0.07
PoolArea,555.0,1,0.07
PoolArea,480.0,1,0.07
PoolArea,519.0,1,0.07
PoolArea,738.0,1,0.07
MiscVal,0.0,1408,96.44
MiscVal,400.0,11,0.75
MiscVal,500.0,8,0.55
MiscVal,700.0,5,0.34
MiscVal,450.0,4,0.27
MoSold,6.0,253,17.33
MoSold,7.0,234,16.03
MoSold,5.0,204,13.97
MoSold,4.0,141,9.66
MoSold,8.0,122,8.36
MoSold,3.0,106,7.26
MoSold,10.0,89,6.1
MoSold,11.0,79,5.41
MoSold,9.0,63,4.32
MoSold,12.0,59,4.04
MoSold,1.0,58,3.97
MoSold,2.0,52,3.56
YrSold,2009.0,338,23.15
YrSold,2007.0,329,22.53
YrSold,2006.0,314,21.51
YrSold,2008.0,304,20.82
YrSold,2010.0,175,11.99
SalePrice,140000.0,20,1.37
SalePrice,135000.0,17,1.16
SalePrice,145000.0,14,0.96
SalePrice,155000.0,14,0.96
SalePrice,110000.0,13,0.89
MSZoning_FV,0.0,1395,95.55
MSZoning_FV,1.0,65,4.45
MSZoning_RH,0.0,1444,98.9
MSZoning_RH,1.0,16,1.1
MSZoning_RL,1.0,1151,78.84
MSZoning_RL,0.0,309,21.16
MSZoning_RM,0.0,1242,85.07
MSZoning_RM,1.0,218,14.93
Street_Pave,1.0,1454,99.59
Street_Pave,0.0,6,0.41
LotShape_IR2,0.0,1419,97.19
LotShape_IR2,1.0,41,2.81
LotShape_IR3,0.0,1450,99.32
LotShape_IR3,1.0,10,0.68
LotShape_Reg,1.0,925,63.36
LotShape_Reg,0.0,535,36.64
LandContour_HLS,0.0,1410,96.58
LandContour_HLS,1.0,50,3.42
LandContour_Low,0.0,1424,97.53
LandContour_Low,1.0,36,2.47
LandContour_Lvl,1.0,1311,89.79
LandContour_Lvl,0.0,149,10.21
Utilities_NoSeWa,0.0,1459,99.93
Utilities_NoSeWa,1.0,1,0.07
LotConfig_CulDSac,0.0,1366,93.56
LotConfig_CulDSac,1.0,94,6.44
LotConfig_FR2,0.0,1413,96.78
LotConfig_FR2,1.0,47,3.22
LotConfig_FR3,0.0,1456,99.73
LotConfig_FR3,1.0,4,0.27
LotConfig_Inside,1.0,1052,72.05
LotConfig_Inside,0.0,408,27.95
LandSlope_Mod,0.0,1395,95.55
LandSlope_Mod,1.0,65,4.45
LandSlope_Sev,0.0,1447,99.11
LandSlope_Sev,1.0,13,0.89
Neighborhood_Blueste,0.0,1458,99.86
Neighborhood_Blueste,1.0,2,0.14
Neighborhood_BrDale,0.0,1444,98.9
Neighborhood_BrDale,1.0,16,1.1
Neighborhood_BrkSide,0.0,1402,96.03
Neighborhood_BrkSide,1.0,58,3.97
Neighborhood_ClearCr,0.0,1432,98.08
Neighborhood_ClearCr,1.0,28,1.92
Neighborhood_CollgCr,0.0,1310,89.73
Neighborhood_CollgCr,1.0,150,10.27
Neighborhood_Crawfor,0.0,1409,96.51
Neighborhood_Crawfor,1.0,51,3.49
Neighborhood_Edwards,0.0,1360,93.15
Neighborhood_Edwards,1.0,100,6.85
Neighborhood_Gilbert,0.0,1381,94.59
Neighborhood_Gilbert,1.0,79,5.41
Neighborhood_IDOTRR,0.0,1423,97.47
Neighborhood_IDOTRR,1.0,37,2.53
Neighborhood_MeadowV,0.0,1443,98.84
Neighborhood_MeadowV,1.0,17,1.16
Neighborhood_Mitchel,0.0,1411,96.64
Neighborhood_Mitchel,1.0,49,3.36
Neighborhood_NAmes,0.0,1235,84.59
Neighborhood_NAmes,1.0,225,15.41
Neighborhood_NPkVill,0.0,1451,99.38
Neighborhood_NPkVill,1.0,9,0.62
Neighborhood_NWAmes,0.0,1387,95.0
Neighborhood_NWAmes,1.0,73,5.0
Neighborhood_NoRidge,0.0,1419,97.19
Neighborhood_NoRidge,1.0,41,2.81
Neighborhood_NridgHt,0.0,1383,94.73
Neighborhood_NridgHt,1.0,77,5.27
Neighborhood_OldTown,0.0,1347,92.26
Neighborhood_OldTown,1.0,113,7.74
Neighborhood_SWISU,0.0,1435,98.29
Neighborhood_SWISU,1.0,25,1.71
Neighborhood_Sawyer,0.0,1386,94.93
Neighborhood_Sawyer,1.0,74,5.07
Neighborhood_SawyerW,0.0,1401,95.96
Neighborhood_SawyerW,1.0,59,4.04
Neighborhood_Somerst,0.0,1374,94.11
Neighborhood_Somerst,1.0,86,5.89
Neighborhood_StoneBr,0.0,1435,98.29
Neighborhood_StoneBr,1.0,25,1.71
Neighborhood_Timber,0.0,1422,97.4
Neighborhood_Timber,1.0,38,2.6
Neighborhood_Veenker,0.0,1449,99.25
Neighborhood_Veenker,1.0,11,0.75
Condition1_Feedr,0.0,1379,94.45
Condition1_Feedr,1.0,81,5.55
Condition1_Norm,1.0,1260,86.3
Condition1_Norm,0.0,200,13.7
Condition1_PosA,0.0,1452,99.45
Condition1_PosA,1.0,8,0.55
Condition1_PosN,0.0,1441,98.7
Condition1_PosN,1.0,19,1.3
Condition1_RRAe,0.0,1449,99.25
Condition1_RRAe,1.0,11,0.75
Condition1_RRAn,0.0,1434,98.22
Condition1_RRAn,1.0,26,1.78
Condition1_RRNe,0.0,1458,99.86
Condition1_RRNe,1.0,2,0.14
Condition1_RRNn,0.0,1455,99.66
Condition1_RRNn,1.0,5,0.34
Condition2_Feedr,0.0,1454,99.59
Condition2_Feedr,1.0,6,0.41
Condition2_Norm,1.0,1445,98.97
Condition2_Norm,0.0,15,1.03
Condition2_PosA,0.0,1459,99.93
Condition2_PosA,1.0,1,0.07
Condition2_PosN,0.0,1458,99.86
Condition2_PosN,1.0,2,0.14
Condition2_RRAe,0.0,1459,99.93
Condition2_RRAe,1.0,1,0.07
Condition2_RRAn,0.0,1459,99.93
Condition2_RRAn,1.0,1,0.07
Condition2_RRNn,0.0,1458,99.86
Condition2_RRNn,1.0,2,0.14
BldgType_2fmCon,0.0,1429,97.88
BldgType_2fmCon,1.0,31,2.12
BldgType_Duplex,0.0,1408,96.44
BldgType_Duplex,1.0,52,3.56
BldgType_Twnhs,0.0,1417,97.05
BldgType_Twnhs,1.0,43,2.95
BldgType_TwnhsE,0.0,1346,92.19
BldgType_TwnhsE,1.0,114,7.81
HouseStyle_1.5Unf,0.0,1446,99.04
HouseStyle_1.5Unf,1.0,14,0.96
HouseStyle_1Story,0.0,734,50.27
HouseStyle_1Story,1.0,726,49.73
HouseStyle_2.5Fin,0.0,1452,99.45
HouseStyle_2.5Fin,1.0,8,0.55
HouseStyle_2.5Unf,0.0,1449,99.25
HouseStyle_2.5Unf,1.0,11,0.75
HouseStyle_2Story,0.0,1015,69.52
HouseStyle_2Story,1.0,445,30.48
HouseStyle_SFoyer,0.0,1423,97.47
HouseStyle_SFoyer,1.0,37,2.53
HouseStyle_SLvl,0.0,1395,95.55
HouseStyle_SLvl,1.0,65,4.45
RoofStyle_Gable,1.0,1141,78.15
RoofStyle_Gable,0.0,319,21.85
RoofStyle_Gambrel,0.0,1449,99.25
RoofStyle_Gambrel,1.0,11,0.75
RoofStyle_Hip,0.0,1174,80.41
RoofStyle_Hip,1.0,286,19.59
RoofStyle_Mansard,0.0,1453,99.52
RoofStyle_Mansard,1.0,7,0.48
RoofStyle_Shed,0.0,1458,99.86
RoofStyle_Shed,1.0,2,0.14
RoofMatl_CompShg,1.0,1434,98.22
RoofMatl_CompShg,0.0,26,1.78
RoofMatl_Membran,0.0,1459,99.93
RoofMatl_Membran,1.0,1,0.07
RoofMatl_Metal,0.0,1459,99.93
RoofMatl_Metal,1.0,1,0.07
RoofMatl_Roll,0.0,1459,99.93
RoofMatl_Roll,1.0,1,0.07
RoofMatl_Tar&Grv,0.0,1449,99.25
RoofMatl_Tar&Grv,1.0,11,0.75
RoofMatl_WdShake,0.0,1455,99.66
RoofMatl_WdShake,1.0,5,0.34
RoofMatl_WdShngl,0.0,1454,99.59
RoofMatl_WdShngl,1.0,6,0.41
Exterior1st_AsbShng,0.0,1440,98.63
Exterior1st_AsbShng,1.0,20,1.37
Exterior1st_AsphShn,0.0,1459,99.93
Exterior1st_AsphShn,1.0,1,0.07
Exterior1st_BrkComm,0.0,1458,99.86
Exterior1st_BrkComm,1.0,2,0.14
Exterior1st_BrkFace,0.0,1410,96.58
Exterior1st_BrkFace,1.0,50,3.42
Exterior1st_CBlock,0.0,1459,99.93
Exterior1st_CBlock,1.0,1,0.07
Exterior1st_CemntBd,0.0,1399,95.82
Exterior1st_CemntBd,1.0,61,4.18
Exterior1st_HdBoard,0.0,1238,84.79
Exterior1st_HdBoard,1.0,222,15.21
Exterior1st_ImStucc,0.0,1459,99.93
Exterior1st_ImStucc,1.0,1,0.07
Exterior1st_MetalSd,0.0,1240,84.93
Exterior1st_MetalSd,1.0,220,15.07
Exterior1st_Plywood,0.0,1352,92.6
Exterior1st_Plywood,1.0,108,7.4
Exterior1st_Stone,0.0,1458,99.86
Exterior1st_Stone,1.0,2,0.14
Exterior1st_Stucco,0.0,1435,98.29
Exterior1st_Stucco,1.0,25,1.71
Exterior1st_VinylSd,0.0,945,64.73
Exterior1st_VinylSd,1.0,515,35.27
Exterior1st_WdShing,0.0,1434,98.22
Exterior1st_WdShing,1.0,26,1.78
Exterior2nd_'Wd Sdng',0.0,1263,86.51
Exterior2nd_'Wd Sdng',1.0,197,13.49
Exterior2nd_'Wd Shng',0.0,1422,97.4
Exterior2nd_'Wd Shng',1.0,38,2.6
Exterior2nd_AsbShng,0.0,1440,98.63
Exterior2nd_AsbShng,1.0,20,1.37
Exterior2nd_AsphShn,0.0,1457,99.79
Exterior2nd_AsphShn,1.0,3,0.21
Exterior2nd_BrkFace,0.0,1435,98.29
Exterior2nd_BrkFace,1.0,25,1.71
Exterior2nd_CBlock,0.0,1459,99.93
Exterior2nd_CBlock,1.0,1,0.07
Exterior2nd_CmentBd,0.0,1400,95.89
Exterior2nd_CmentBd,1.0,60,4.11
Exterior2nd_HdBoard,0.0,1253,85.82
Exterior2nd_HdBoard,1.0,207,14.18
Exterior2nd_ImStucc,0.0,1450,99.32
Exterior2nd_ImStucc,1.0,10,0.68
Exterior2nd_MetalSd,0.0,1246,85.34
Exterior2nd_MetalSd,1.0,214,14.66
Exterior2nd_Other,0.0,1459,99.93
Exterior2nd_Other,1.0,1,0.07
Exterior2nd_Plywood,0.0,1318,90.27
Exterior2nd_Plywood,1.0,142,9.73
Exterior2nd_Stone,0.0,1455,99.66
Exterior2nd_Stone,1.0,5,0.34
Exterior2nd_Stucco,0.0,1434,98.22
Exterior2nd_Stucco,1.0,26,1.78
Exterior2nd_VinylSd,0.0,956,65.48
Exterior2nd_VinylSd,1.0,504,34.52
MasVnrType_BrkFace,0.0,1015,69.52
MasVnrType_BrkFace,1.0,445,30.48
MasVnrType_None,0.0,1452,99.45
MasVnrType_None,1.0,8,0.55
MasVnrType_Stone,0.0,1332,91.23
MasVnrType_Stone,1.0,128,8.77
Foundation_CBlock,0.0,826,56.58
Foundation_CBlock,1.0,634,43.42
Foundation_PConc,0.0,813,55.68
Foundation_PConc,1.0,647,44.32
Foundation_Slab,0.0,1436,98.36
Foundation_Slab,1.0,24,1.64
Foundation_Stone,0.0,1454,99.59
Foundation_Stone,1.0,6,0.41
Foundation_Wood,0.0,1457,99.79
Foundation_Wood,1.0,3,0.21
BsmtExposure_Gd,0.0,1326,90.82
BsmtExposure_Gd,1.0,134,9.18
BsmtExposure_Mn,0.0,1346,92.19
BsmtExposure_Mn,1.0,114,7.81
BsmtExposure_No,1.0,953,65.27
BsmtExposure_No,0.0,507,34.73
BsmtExposure_None,0.0,1422,97.4
BsmtExposure_None,1.0,38,2.6
BsmtFinType1_BLQ,0.0,1312,89.86
BsmtFinType1_BLQ,1.0,148,10.14
BsmtFinType1_GLQ,0.0,1042,71.37
BsmtFinType1_GLQ,1.0,418,28.63
BsmtFinType1_LwQ,0.0,1386,94.93
BsmtFinType1_LwQ,1.0,74,5.07
BsmtFinType1_None,0.0,1423,97.47
BsmtFinType1_None,1.0,37,2.53
BsmtFinType1_Rec,0.0,1327,90.89
BsmtFinType1_Rec,1.0,133,9.11
BsmtFinType1_Unf,0.0,1030,70.55
BsmtFinType1_Unf,1.0,430,29.45
BsmtFinType2_BLQ,0.0,1427,97.74
BsmtFinType2_BLQ,1.0,33,2.26
BsmtFinType2_GLQ,0.0,1446,99.04
BsmtFinType2_GLQ,1.0,14,0.96
BsmtFinType2_LwQ,0.0,1414,96.85
BsmtFinType2_LwQ,1.0,46,3.15
BsmtFinType2_None,0.0,1422,97.4
BsmtFinType2_None,1.0,38,2.6
BsmtFinType2_Rec,0.0,1406,96.3
BsmtFinType2_Rec,1.0,54,3.7
BsmtFinType2_Unf,1.0,1256,86.03
BsmtFinType2_Unf,0.0,204,13.97
Heating_GasA,1.0,1428,97.81
Heating_GasA,0.0,32,2.19
Heating_GasW,0.0,1442,98.77
Heating_GasW,1.0,18,1.23
Heating_Grav,0.0,1453,99.52
Heating_Grav,1.0,7,0.48
Heating_OthW,0.0,1458,99.86
Heating_OthW,1.0,2,0.14
Heating_Wall,0.0,1456,99.73
Heating_Wall,1.0,4,0.27
CentralAir_Y,1.0,1365,93.49
CentralAir_Y,0.0,95,6.51
Electrical_FuseA,0.0,1366,93.56
Electrical_FuseA,1.0,94,6.44
Electrical_FuseF,0.0,1433,98.15
Electrical_FuseF,1.0,27,1.85
Electrical_FuseP,0.0,1457,99.79
Electrical_FuseP,1.0,3,0.21
Electrical_Mix,0.0,1459,99.93
Electrical_Mix,1.0,1,0.07
Electrical_SBrkr,1.0,1334,91.37
Electrical_SBrkr,0.0,126,8.63
Functional_Maj2,0.0,1455,99.66
Functional_Maj2,1.0,5,0.34
Functional_Min1,0.0,1429,97.88
Functional_Min1,1.0,31,2.12
Functional_Min2,0.0,1426,97.67
Functional_Min2,1.0,34,2.33
Functional_Mod,0.0,1445,98.97
Functional_Mod,1.0,15,1.03
Functional_Sev,0.0,1459,99.93
Functional_Sev,1.0,1,0.07
Functional_Typ,1.0,1360,93.15
Functional_Typ,0.0,100,6.85
GarageType_Attchd,1.0,870,59.59
GarageType_Attchd,0.0,590,40.41
GarageType_Basment,0.0,1441,98.7
GarageType_Basment,1.0,19,1.3
GarageType_BuiltIn,0.0,1372,93.97
GarageType_BuiltIn,1.0,88,6.03
GarageType_CarPort,0.0,1451,99.38
GarageType_CarPort,1.0,9,0.62
GarageType_Detchd,0.0,1073,73.49
GarageType_Detchd,1.0,387,26.51
GarageType_None,0.0,1379,94.45
GarageType_None,1.0,81,5.55
GarageFinish_None,0.0,1379,94.45
GarageFinish_None,1.0,81,5.55
GarageFinish_RFn,0.0,1038,71.1
GarageFinish_RFn,1.0,422,28.9
GarageFinish_Unf,0.0,855,58.56
GarageFinish_Unf,1.0,605,41.44
PavedDrive_P,0.0,1430,97.95
PavedDrive_P,1.0,30,2.05
PavedDrive_Y,1.0,1340,91.78
PavedDrive_Y,0.0,120,8.22
SaleType_CWD,0.0,1456,99.73
SaleType_CWD,1.0,4,0.27
SaleType_Con,0.0,1458,99.86
SaleType_Con,1.0,2,0.14
SaleType_ConLD,0.0,1451,99.38
SaleType_ConLD,1.0,9,0.62
SaleType_ConLI,0.0,1455,99.66
SaleType_ConLI,1.0,5,0.34
SaleType_ConLw,0.0,1455,99.66
SaleType_ConLw,1.0,5,0.34
SaleType_New,0.0,1338,91.64
SaleType_New,1.0,122,8.36
SaleType_Oth,0.0,1457,99.79
SaleType_Oth,1.0,3,0.21
SaleType_WD,1.0,1267,86.78
SaleType_WD,0.0,193,13.22
SaleCondition_AdjLand,0.0,1456,99.73
SaleCondition_AdjLand,1.0,4,0.27
SaleCondition_Alloca,0.0,1448,99.18
SaleCondition_Alloca,1.0,12,0.82
SaleCondition_Family,0.0,1440,98.63
SaleCondition_Family,1.0,20,1.37
SaleCondition_Normal,1.0,1198,82.05
SaleCondition_Normal,0.0,262,17.95
SaleCondition_Partial,0.0,1335,91.44
SaleCondition_Partial,1.0,125,8.56
